Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,s2-brdr1,Ethernet2,172.20.3.49/31,spine,s2-spine1,Ethernet7,172.20.3.48/31
l3leaf,s2-brdr1,Ethernet3,172.20.3.51/31,spine,s2-spine2,Ethernet7,172.20.3.50/31
l3leaf,s2-brdr2,Ethernet2,172.20.3.53/31,spine,s2-spine1,Ethernet8,172.20.3.52/31
l3leaf,s2-brdr2,Ethernet3,172.20.3.55/31,spine,s2-spine2,Ethernet8,172.20.3.54/31
l3leaf,s2-leaf1,Ethernet2,172.20.3.33/31,spine,s2-spine1,Ethernet2,172.20.3.32/31
l3leaf,s2-leaf1,Ethernet3,172.20.3.35/31,spine,s2-spine2,Ethernet2,172.20.3.34/31
l3leaf,s2-leaf2,Ethernet2,172.20.3.37/31,spine,s2-spine1,Ethernet3,172.20.3.36/31
l3leaf,s2-leaf2,Ethernet3,172.20.3.39/31,spine,s2-spine2,Ethernet3,172.20.3.38/31
